#DEPTH,AC,DEN,CNL
2178.625,297.88,2.06,43.96
2178.75,309.84,2.12,46
2178.875,325.23,2.2,46
2179,327.83,2.26,43
2179.125,313.97,2.29,38.19
2179.25,298.57,2.31,34
2179.375,290.47,2.32,34
2179.5,285.09,2.3,38
2179.625,290.1,2.27,43.77
2179.75,306.7,2.22,49
2179.875,312.85,2.17,47.08
2180,303.2,2.13,41
2180.125,289.26,2.1,37.15
2180.25,280.9,2.09,34
2180.375,288.12,2.09,33.04
2180.5,310.78,2.09,33
2180.625,333.39,2.11,33.96
2180.75,349.19,2.13,37
2180.875,358.27,2.17,41.81
2181,367.13,2.21,46
2181.125,371.23,2.22,47.93
2181.25,368.72,2.2,47
2181.375,366.38,2.15,44.11
2181.5,362.15,2.1,40
2181.625,349.54,2.06,36.15
2181.75,337.21,2.05,34
2181.875,334.99,2.08,34
2182,330.26,2.15,34
2182.125,318.4,2.26,34
2182.25,303.19,2.37,33
2182.375,288.46,2.46,31.08
2182.5,270.88,2.52,27
2182.625,255.2,2.55,24.11
2182.75,246.01,2.56,21
2182.875,249.58,2.57,20.04
2183,263.68,2.57,21
2183.125,287.64,2.54,22.93
2183.25,312.03,2.5,25
2183.375,322.86,2.48,25.96
2183.5,322.63,2.46,26
2183.625,306.45,2.45,24.08
2183.75,278.08,2.46,23
2183.875,263.69,2.48,21.08
2184,268.2,2.5,21
2184.125,278.45,2.51,21
2184.25,289.4,2.51,22
2184.375,295.91,2.53,23.93
2184.5,287.41,2.56,26
2184.625,265.06,2.59,25.04
2184.75,247.83,2.58,24
2184.875,250.04,2.48,22.08
2185,271.91,2.32,23
2185.125,303.31,2.17,25.89
2185.25,333.35,2.05,33
2185.375,346.56,2.01,41.66
2185.5,348.21,2.01,51
2185.625,338.26,2.04,52.93
2185.75,321.29,2.06,51
2185.875,309.19,2.07,49.08
2186,301.53,2.07,46
2186.125,294.76,2.07,45.04
2186.25,293.32,2.08,44
2186.375,301.23,2.11,43.04
2186.5,311.09,2.15,41
2186.625,320.95,2.22,39.08
2186.75,329.3,2.3,36
2186.875,323.32,2.37,32.15
2187,299.37,2.43,27
2187.125,274.66,2.48,23.15
2187.25,253.77,2.52,21
2187.375,238.78,2.55,21
2187.5,229.57,2.55,23
